1,0,0,1000
1.0,0.0,0,1000.0,1
1.0,0.0,0,1000.0,2
1.0,0.0,0,1000.0,3
1.0,0.0,0,1000.0,4
1.0,0.0,0,1000.0,5
1.0,0.0,0,1000.0,6
1.0,0.0,0,1000.0,7
1.0,0.0,0,1000.0,8
1.0,0.0,0,1000.0,9
1.0,0.0,0,1000.0,10
1.0,0.0,0,1000.0,11
1.0,0.0,0,1000.0,12
1.0,0.0,0,1000.0,13
1.0,0.0,0,1000.0,14
1.0,0.0,0,1000.0,15
1.0,0.0,0,1000.0,16
1.0,0.0,0,1000.0,17
1.0,0.0,0,1000.0,18
1.0,0.0,0,1000.0,19
1.0,0.0,0,1000.0,20
1.0,0,0.0,1000.0,21
1.0,0,0.0,1000.0,22
1.0,0,0.0,1000.0,23
1.0,0,0.0,1000.0,24
1.0,0,0.0,1000.0,25
1.0,0,0.0,1000.0,26
1.0,0,0.0,1000.0,27
1.0,0,0.0,1000.0,28
1.0,0,0.0,1000.0,29
1.0,0,0.0,1000.0,30
1.0,0,0.0,1000.0,31
1.0,0,0.0,1000.0,32
1.0,0,0.0,1000.0,33
1.0,0,0.0,1000.0,34
1.0,0,0.0,1000.0,35
1.0,0,0.0,1000.0,36
1.0,0,0.0,1000.0,37
1.0,0,0.0,1000.0,38
1.0,0,0.0,1000.0,39
1.0,0,0.0,1000.0,40
1.0,0,0.0,1000.0,41
1.0,0,0.0,1000.0,42
1.0,0,0.0,1000.0,43
1.0,0,0.0,1000.0,44
1.0,0,0.0,1000.0,45
1.0,0,0.0,1000.0,46
1.0,0,0.0,1000.0,47
1.0,0,0.0,1000.0,48
1.0,0,0.0,1000.0,49
1.0,0,0.0,1000.0,50
1.0,0,0.0,1000.0,51
1.0,0,0.0,1000.0,52
1.0,0,0.0,1000.0,53
1.0,0,0.0,1000.0,54
1.0,0,0.0,1000.0,55
1.0,0,0.0,1000.0,56
1.0,0,0.0,1000.0,57
1.0,0,0.0,1000.0,58
1.0,0,0.0,1000.0,59
1.0,0,0.0,1000.0,60
1.0,0,0.0,1000.0,61
1.0,0,0.0,1000.0,62
1.0,0,0.0,1000.0,63
0,0.0,1.0,980.0,64
0,0.0,1.0,979.9683996648,65
0,0.0,1.0,1014.7708975909146,66
0,0.0,1.0,1002.9418403377523,67
0,0.0,1.0,1009.2303062169188,68
0,0.0,1.0,1050.9427432071366,69
0,0.0,1.0,1070.1662779323572,70
0,0.0,1.0,1067.4802497945095,71
0,0.0,1.0,1186.8663004814275,72
0,0.0,1.0,1047.7300428839121,73
0,0.0,1.0,1052.9756978337382,74
1.0,0.0,0,925.7774132809706,75
1.0,0.0,0,925.7774132809706,76
1.0,0.0,0,925.7774132809706,77
1.0,0.0,0,925.7774132809706,78
1.0,0.0,0,925.7774132809706,79
1.0,0.0,0,925.7774132809706,80
1.0,0.0,0,925.7774132809706,81
1.0,0.0,0,925.7774132809706,82
1.0,0.0,0,925.7774132809706,83
1.0,0.0,0,925.7774132809706,84
1.0,0.0,0,925.7774132809706,85
1.0,0.0,0,925.7774132809706,86
1.0,0.0,0,925.7774132809706,87
1.0,0.0,0,925.7774132809706,88
1.0,0.0,0,925.7774132809706,89
1.0,0.0,0,925.7774132809706,90
1.0,0.0,0,925.7774132809706,91
1.0,0.0,0,925.7774132809706,92
1.0,0.0,0,925.7774132809706,93
1.0,0.0,0,925.7774132809706,94
1.0,0.0,0,925.7774132809706,95
1.0,0.0,0,925.7774132809706,96
1.0,0.0,0,925.7774132809706,97
1.0,0.0,0,925.7774132809706,98
1.0,0.0,0,925.7774132809706,99
1.0,0.0,0,925.7774132809706,100
1.0,0.0,0,925.7774132809706,101
1.0,0.0,0,925.7774132809706,102
1.0,0.0,0,925.7774132809706,103
1.0,0.0,0,925.7774132809706,104
1.0,0.0,0,925.7774132809706,105
1.0,0.0,0,925.7774132809706,106
1.0,0.0,0,925.7774132809706,107
1.0,0.0,0,925.7774132809706,108
1.0,0.0,0,925.7774132809706,109
1.0,0.0,0,925.7774132809706,110
1.0,0.0,0,925.7774132809706,111
1.0,0.0,0,925.7774132809706,112
1.0,0.0,0,925.7774132809706,113
1.0,0.0,0,925.7774132809706,114
1.0,0.0,0,925.7774132809706,115
1.0,0.0,0,925.7774132809706,116
1.0,0.0,0,925.7774132809706,117
1.0,0.0,0,925.7774132809706,118
1.0,0.0,0,925.7774132809706,119
1.0,0.0,0,925.7774132809706,120
1.0,0.0,0,925.7774132809706,121
1.0,0.0,0,925.7774132809706,122
1.0,0.0,0,925.7774132809706,123
1.0,0.0,0,925.7774132809706,124
1.0,0.0,0,925.7774132809706,125
1.0,0.0,0,925.7774132809706,126
1.0,0.0,0,925.7774132809706,127
1.0,0.0,0,925.7774132809706,128
1.0,0.0,0,925.7774132809706,129
1.0,0.0,0,925.7774132809706,130
1.0,0.0,0,925.7774132809706,131
1.0,0.0,0,925.7774132809706,132
1.0,0.0,0,925.7774132809706,133
1.0,0.0,0,925.7774132809706,134
1.0,0.0,0,925.7774132809706,135
1.0,0.0,0,925.7774132809706,136
1.0,0.0,0,925.7774132809706,137
1.0,0.0,0,925.7774132809706,138
1.0,0.0,0,925.7774132809706,139
1.0,0.0,0,925.7774132809706,140
1.0,0.0,0,925.7774132809706,141
1.0,0.0,0,925.7774132809706,142
1.0,0.0,0,925.7774132809706,143
1.0,0.0,0,925.7774132809706,144
1.0,0.0,0,925.7774132809706,145
1.0,0.0,0,925.7774132809706,146
1.0,0.0,0,925.7774132809706,147
1.0,0.0,0,925.7774132809706,148
1.0,0.0,0,925.7774132809706,149
1.0,0.0,0,925.7774132809706,150
1.0,0.0,0,925.7774132809706,151
1.0,0.0,0,925.7774132809706,152
1.0,0.0,0,925.7774132809706,153
1.0,0.0,0,925.7774132809706,154
1.0,0.0,0,925.7774132809706,155
0,0.0,1.0,907.2618650153512,156
0,0.0,1.0,904.9331045525655,157
0,0.0,1.0,902.1739818054829,158
0,0.0,1.0,947.6772706303971,159
0,0.0,1.0,958.3487505800682,160
0,0.0,1.0,941.6267648021662,161
0,0.0,1.0,995.3438980979264,162
0,0.0,1.0,987.9145257893786,163
0,0.0,1.0,988.3074720224917,164
0,0.0,1.0,1037.9388550561218,165
0,0.0,1.0,1029.8264805208994,166
0,0.0,1.0,1032.3376497184101,167
0,0.0,1.0,1053.014286564978,168
0,0.0,1.0,1069.468636872541,169
0,0.0,1.0,1062.905927551656,170
0,0.0,1.0,1028.8446293589361,171
0,0.0,1.0,1033.410117617404,172
0,0.0,1.0,1020.418985780935,173
0,0.0,1.0,1034.8638598091181,174
0,0.0,1.0,1051.174609837519,175
0,0.0,1.0,1026.1821436991006,176
0,0.0,1.0,1061.8946180298167,177
0,0.0,1.0,1082.6073177644257,178
0,0.0,1.0,1078.1987853257303,179
0,0.0,1.0,1099.717967953756,180
0,0.0,1.0,1096.8205974171256,181
0,0.0,1.0,1081.8694199393622,182
0,0.0,1.0,1115.5021004871671,183
0,0.0,1.0,1141.3928799103733,184
0,0.0,1.0,1123.0049404235501,185
0,0.0,1.0,1160.7352532776895,186
0,0.0,1.0,1163.9478075165277,187
0,0.0,1.0,1162.2223145442097,188
0,0.0,1.0,1235.6113029523624,189
0,0.0,1.0,1266.0431090238121,190
0,0.0,1.0,1262.0967077416906,191
0,0.0,1.0,1315.056837608559,192
0,0.0,1.0,1336.89139925056,193
0,0.0,1.0,1324.1748988891752,194
0,0.0,1.0,1339.1001953433117,195
0,0.0,1.0,1430.4308124352426,196
0,0.0,1.0,1439.568839873914,197
0,0.0,1.0,1537.0335617068833,198
0,0.0,1.0,1587.6938236237881,199
0,0.0,1.0,1594.6771292629007,200
0,0.0,1.0,1544.909961524036,201
0,0.0,1.0,1548.7431913017672,202
0,0.0,1.0,1551.9547786132018,203
0,0.0,1.0,1516.235384139321,204
0,0.0,1.0,1575.918584722916,205
0,0.0,1.0,1555.424879751728,206
0,0.0,1.0,1710.2197161281922,207
0,0.0,1.0,1789.9006491858033,208
0,0.0,1.0,1751.476874985753,209
0,0.0,1.0,1822.8164983928036,210
0,0.0,1.0,1994.619614350306,211
0,0.0,1.0,1967.2509022885372,212
0,0.0,1.0,2081.368653410648,213
0,0.0,1.0,1928.5887940273142,214
0,0.0,1.0,1987.7401928957922,215
0,0.0,1.0,1912.0264224326847,216
0,0.0,1.0,1984.3491717046757,217
0,0.0,1.0,1996.6334169136808,218
0,0.0,1.0,1993.0708210127632,219
0,0.0,1.0,2091.862993427409,220
0,0.0,1.0,2101.181112139238,221
0,0.0,1.0,2202.176014932946,222
0,0.0,1.0,2193.812883752844,223
0,0.0,1.0,2205.4585231143574,224
0,0.0,1.0,2513.9171180928415,225
0,0.0,1.0,2323.50374599112,226
0,0.0,1.0,2339.29282560756,227
0,0.0,1.0,2465.246423838338,228
0,0.0,1.0,2480.8370799271943,229
0,0.0,1.0,2527.271168461827,230
0,0.0,1.0,2317.186243789381,231
0,0.0,1.0,2396.1005486766644,232
0,0.0,1.0,2359.3200173257987,233
1.0,0.0,0,2086.96995374567,234
1.0,0.0,0,2086.96995374567,235
1.0,0.0,0,2086.96995374567,236
1.0,0.0,0,2086.96995374567,237
1.0,0.0,0,2086.96995374567,238
1.0,0.0,0,2086.96995374567,239
1.0,0.0,0,2086.96995374567,240
1.0,0.0,0,2086.96995374567,241
1.0,0.0,0,2086.96995374567,242
1.0,0.0,0,2086.96995374567,243
